Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,148,PM-WPC-MECH AIR COMPRESSOR B K4010B,N,WPC-K4010B,WPC-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y06-01,MECH,NON SCE
JAS,149,PM-WPD-E&I & OSP-CORROSION COUPON-12 MONTHLY,Y,ROUTE-WPD-IPCO/COUPON,ROUTE-WPD-CORROSION COUPON,IPCO-RCS-4500,"CORROSION COUPON, RCS, MODEL GROUP 4500",IPCO-M06-01,E&I,NON SCE
JAS,150,PM-WPB-E&I & OSP-CORROSION COUPON-12 MONTHLY,Y,ROUTE-WPB-IPCO/COUPON,ROUTE-WPB-CORROSION COUPON,IPCO-RCS-6200,"CORROSION PROBE, RCS, MODEL GROUP 6200",IPCO-M06-01,E&I,NON SCE
JAS,151,PM-PPB2-E&I & OSP-CORROSION COUPON-12 MONTHLY,Y,ROUTE-PPB2-IPCO/COUPON,ROUTE-PPB2-CORROSION COUPON,IPCO-RCS-6200,"CORROSION PROBE, RCS, MODEL GROUP 6200",IPCO-M06-01,E&I,NON SCE
JAS,152,PM-WPC-E&I & OSP-CORROSION COUPON-12 MONTHLY,Y,ROUTE-WPC-IPCO/COUPON,ROUTE-WPC-CORROSION COUPON,IPCO-RCS-4500,"CORROSION COUPON, RCS, MODEL GROUP 4500",IPCO-M06-01,E&I,NON SCE
JAS,153,PM-BYA-E&I & OSP-CORROSION COUPON-12 MONTHLY,Y,ROUTE-BYA-IPCO/COUPON,ROUTE-BYA-CORROSION COUPON,IPCO-RCS-4500,"CORROSION COUPON, RCS, MODEL GROUP 4500",IPCO-M06-01,E&I,NON SCE
JAS,154,PM-WPD-WPB PIPELINE-OPERATOR PIGGING - 12 WEEKLY,Y,ROUTE-WPD-WPB-PIPELINE,WPD-WPB-PIPELINE,PIPE,PIPE BRIDGE,PIG-W12-04,OPT,
JAS,155,PM-WPD-WPB PIPELINE-OPERATOR PIGGING - 12 WEEKLY,Y,ROUTE-WPD-WPB-PIPELINE,WPD-WPB-PIPELINE,PIPE,PIPE BRIDGE,PIG-W36-01,OPT,
JAS,156,PM-BYA -WPC PIPELINE-OPERATOR PIGGING,Y,ROUTE-BYA-WPC-PIPELINE,BYA-WPC-PIPELINE,PIPE,PIPE BRIDGE,PIG-W08-01,OPT,
JAS,157,PM-BYA -WPC PIPELINE-OPERATOR PIGGING,Y,ROUTE-BYA-WPC-PIPELINE,BYA-WPC-PIPELINE,PIPE,PIPE BRIDGE,PIG-W24-01,OPT,
JAS,158,PM-WPB-FPSO PIPELINE -OPERATOR PIGGING- 12 WEEKLY,Y,ROUTE-WPB-FPSO-PIPELINE,WPB-FPSO-PIPELINE,PIPE,PIPE BRIDGE,PIG-W12-04,OPT,
JAS,159,PM-WPC-FPSO PIPELINE -OPERATOR PIGGING - 12 WEEKLY,Y,ROUTE-WPC-FPSO-PIPELINE,WPC-FPSO-PIPELINE,PIPE,PIPE BRIDGE,PIG-W12-04,OPT,
JAS,160,PM-WPD-MECH CRUDE PUMP B P1400B,N,WPD-P1400B,WPD-CRUDE OIL PUMP PACKAGE B,PUSC-BNM-W8.5Z62,"CRUDE OIL PUMP, BORNEMANN PUMP, MODEL W8.5Z-62",PUSC-W02-04,MECH,NON SCE
